candidate_order,variable,python_type,nonmissing,distinct_nonmissing,origin,derivation_draft,origin_review,label_review,terminology_review,review_status,owner
1,STUDYID,object,59580,1,Retained SDTM LB column,Copied from LB.STUDYID,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
2,USUBJID,object,59580,254,Retained SDTM LB column,Copied from LB.USUBJID,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
3,PARAMCD,object,59580,47,Derived/assigned ADaM candidate,Copy LBTESTCD; documented exception mapping if needed,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
4,PARAM,object,59580,47,Derived/assigned ADaM candidate,Standardized LBTEST name with unit as defined in parameter dictionary,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
5,PARAMN,int64,59580,47,Derived/assigned ADaM candidate,Stable ascending parameter order from parameter dictionary,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
6,PARCAT1,object,59572,4,Derived/assigned ADaM candidate,Copy LBCAT; investigate missing categories,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
7,AVAL,float64,56659,2300,Derived/assigned ADaM candidate,Copy LBSTRESN for numeric measurements; coded categorical tests intentionally missing,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
8,AVALC,object,59580,2299,Derived/assigned ADaM candidate,Copy LBSTRESC preserving categorical/source representation,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
9,AVALU,object,54917,12,Derived/assigned ADaM candidate,Copy LBSTRESU; numeric pH and specific gravity dimensionless,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
10,ADT,object,59580,703,Derived/assigned ADaM candidate,Complete date part of LBDTC; no partial-date imputation,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
11,ADY,int64,59580,213,Derived/assigned ADaM candidate,"ADT - FIRST_DOSE_DATE +1 on or after dose date, otherwise no offset",Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
12,AVISIT,object,57916,10,Derived/assigned ADaM candidate,LBBLFL baseline -> BASELINE; scheduled WEEK visits -> source visit; otherwise missing,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
13,AVISITN,float64,57916,10,Derived/assigned ADaM candidate,Baseline = 0; selected scheduled weeks from VISITNUM; otherwise missing,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
14,BASETYPE,object,59580,1,Derived/assigned ADaM candidate,Assigned LAST,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
15,ABLFL,object,8474,1,Derived/assigned ADaM candidate,Last eligible numeric source-flagged baseline per subject/parameter by datetime then LBSEQ,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
16,BASE,float64,55562,1434,Derived/assigned ADaM candidate,Selected baseline AVAL copied across subject and parameter,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
17,CHG,float64,45756,2651,Derived/assigned ADaM candidate,Postbaseline non-missing AVAL minus BASE,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
18,PCHG,float64,45736,11489,Derived/assigned ADaM candidate,"100 * CHG / abs(BASE), provided BASE != 0",Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
19,ANL01FL,object,46673,1,Derived/assigned ADaM candidate,Last valid numeric scheduled postbaseline record per subject/parameter/visit; confirm tie/window rules,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
20,ANRLO,float64,56665,56,Derived/assigned ADaM candidate,Copy LBSTNRLO,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
21,ANRHI,float64,56665,64,Derived/assigned ADaM candidate,Copy LBSTNRHI,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
22,ANRIND,object,56659,3,Derived/assigned ADaM candidate,Range category derived by AVAL against available lower and upper reference bounds,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
23,BNRIND,object,55562,3,Derived/assigned ADaM candidate,Reference range indicator from selected baseline,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
24,SHIFT1,object,45756,8,Derived/assigned ADaM candidate,Concatenate baseline and follow-up reference range categories,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
25,R2ANRHI,float64,56659,4002,Derived/assigned ADaM candidate,AVAL divided by ANRHI where upper bound positive,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
26,TRTP,object,59580,3,ADSL-derived/copied,Copied from local ADSL: TRTP,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
27,TRTA,object,59580,3,ADSL-derived/copied,Copied from local ADSL: TRTA,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
28,SAFFL,object,59580,1,ADSL-derived/copied,Copied from local ADSL: SAFFL,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
29,SRCDOM,object,59580,1,Derived/assigned ADaM candidate,Assigned LB,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
30,SRCSEQ,int64,59580,380,Derived/assigned ADaM candidate,Copy LBSEQ,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
31,SRCVAR,object,59580,2,Derived/assigned ADaM candidate,LBSTRESN for numeric AVAL; LBSTRESC for categorical source,Confirm direct source or algorithm against SDTM/SAP,Assign and independently verify SAS-compatible label and length,Confirm controlled terminology and permitted missing values,DRAFT - not approved,Unassigned
